Organisation,Org ID,Sub Org,Sub Org ID,Org Target Migration Data,Application,Application ID,App Category,App Environment,App Subcategory,Certificates Used,Cryptography Algorithms Used,Changed Algorithms,Replaced With (Algorithms),Algorithm Change Reason,Algorithm Change Status,Changed Certificates,Replaced With (Certificates),Certificate Change Reason,Certificate Change Status,PQC Vulnerable Algorithms,PQC Vulnerable Certificates,NIST Compliant,PCI DSS Compliant,HIPAA Compliant,Non-Compliant,NSM-10 Compliant
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q2 2027,AWS S3 Data Lake,550005002,Repository,Production,Data Engine,TLS 1.3,SHA-512; ECC; Dilithium-2; Sphincs+,,,No Change,,,,No Change,,SHA-512; ECC,,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q4 2026,Epic Resolute Billing,550006002,Application,Production,Payment Gateway,TLS 1.2,SHA-256; ECC,SHA-256; ECC,"SHA-3; Dilithium-2",Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-256; ECC,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q3 2027,Allscripts Clinical Module,550001003,Server,UAT,Clinical Workbench,RSA-2048,SHA-1; RSA-2048,SHA-1,"SHA-3",Outdated hash function,Completed,,,No Change,,SHA-1; RSA-2048,RSA-2048,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2028,Siemens Syngo Gateway,550002003,Network Device,Production,HL7 Processor,SSL; TLS 1.2,ECC; SHA-256,ECC,Kyber-512,Classical algorithm not PQC-safe,Completed,SSL; TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,ECC; SHA-256,SSL; TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2027,Zoom Health API,550003003,Server,Production,API Service,TLS 1.3,SHA-512; ECC; Dilithium-2,ECC,Kyber-512,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-512; ECC,,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q4 2027,RStudio Genomics Server,550004003,Server,Dev,Analytics,Code Signing,RSA-2048; SHA-256,,,No Change,,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Planned,RSA-2048; SHA-256,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q3 2026,GCP Compute Node,550005003,Server,Production,Microservice,TLS 1.2,SHA-512; RSA-2048,SHA-512; RSA-2048,"SHA-3; Kyber-1024",Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-512; RSA-2048,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q1 2027,StrataJazz Financial Gateway,550006003,Application,QA,Payment Gateway,RSA-2048,SHA-1; RSA-2048,SHA-1; RSA-2048,"SHA-3; Dilithium-2",Classical algorithm not PQC-safe,Completed,RSA-2048,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-1; RSA-2048,RSA-2048,FALSE,TRUE,TRUE,FALSE,FALSE
Cleveland Clinic,550,EHR Systems,550001,Q2 2028,Meditech Expanse DB,550001004,Database,Testing,Data Engine,TLS 1.2,SHA-256; ECC,,,No Change,,,,No Change,,SHA-256; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q3 2027,Agfa Enterprise Imaging,550002004,Application,UAT,Imaging Archive,SSL; Code Signing,SHA-256; RSA-2048; ECC,RSA-2048,Kyber-512,Classical algorithm not PQC-safe,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,"SHA-256; RSA-2048; ECC",SSL; Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q4 2026,Doxy.me Integration Service,550003004,Server,Dev,API Service,TLS 1.2,SHA-512; ECC; Kyber-1024; Sphincs+,,,No Change,,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Planned,SHA-512; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q1 2028,Biobank LIMS,550004004,Database,Production,Lab System,Code Signing; TLS 1.2,RSA-2048; SHA-256,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,In Progress,,,No Change,,"RSA-2048; SHA-256",Code Signing; TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q2 2027,Oracle Cloud Auth,550005004,Application,Production,Auth Service,TLS 1.3; S/MIME,ECC; SHA-512; Kyber-512; Sphincs+,ECC,Dilithium-2,Classical algorithm not PQC-safe,Completed,,,No Change,,ECC; SHA-512,S/MIME,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q3 2027,Waystar RCM Platform,550006004,Application,Production,Billing Service,SSL; TLS 1.2,SHA-1; ECC; RSA-2048,SHA-1; ECC,"SHA-3; Dilithium-2",Outdated hash and classical algos,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,"SHA-1; ECC; RSA-2048",SSL; TLS 1.2,FALSE,TRUE,TRUE,FALSE,FALSE
Cleveland Clinic,550,EHR Systems,550001,Q4 2027,NextGen Ambulatory EHR,550001005,Application,Production,Clinical Workbench,TLS 1.2,RSA-2048; SHA-256,,,No Change,,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,RSA-2048; SHA-256,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2027,Sectra PACS DB,550002005,Database,Production,Imaging Archive,TLS 1.2,ECC; SHA-256; Kyber-1024,,,No Change,,,,No Change,,ECC; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2028,VSee API Endpoint,550003005,Network Device,QA,API Service,SSL,SHA-1,SHA-1,"SHA-3",Outdated hash function,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-1,SSL,FALSE,FALSE,FALSE,TRUE,FALSE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q3 2026,Stata Analytics Engine,550004005,Application,Testing,Analytics,Code Signing,RSA-2048,RSA-2048,Dilithium-2,Classical algorithm not PQC-safe,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,RSA-2048,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q4 2027,VMware vSphere Host,550005005,Server,Production,Virtualization,TLS 1.2; Code Signing,SHA-256; ECC; Dilithium-2,ECC,Kyber-512,Classical algorithm not PQC-safe,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-256; ECC,TLS 1.2; Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q1 2028,Availity Claims Gateway,550006005,Network Device,UAT,HL7 Processor,TLS 1.2,RSA-2048; SHA-512,,,No Change,,,,No Change,,RSA-2048; SHA-512,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q2 2027,DrChrono Mobile EHR,550001006,Application,Dev,Web UI,TLS 1.3; Code Signing,ECC; SHA-512,ECC,Dilithium-2,Classical algorithm not PQC-safe,Planned,,,No Change,,ECC; SHA-512,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q3 2028,Carestream Vue PACS,550002006,Server,Production,Imaging Archive,TLS 1.2,RSA-2048; SHA-256; Kyber-512,,,No Change,,,,No Change,,RSA-2048; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q4 2027,SimplePractice API,550003006,Application,Production,API Service,TLS 1.3,ECC; SHA-512; Dilithium-2,,,No Change,,,,No Change,,ECC; SHA-512,,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q1 2027,DNAnexus Titan Platform,550004006,Server,Production,Genomics,Code Signing,SHA-1; ECC,SHA-1; ECC,"SHA-3; Kyber-1024",Outdated hash and classical algos,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-1; ECC,Code Signing,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q2 2028,Cisco ACI Controller,550005006,Network Device,Production,SDN Controller,TLS 1.2,SHA-256; RSA-2048,RSA-2048,Kyber-512,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-256; RSA-2048,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q3 2026,Change Healthcare Gateway,550006006,Network Device,Production,Payment Gateway,TLS 1.2; RSA-2048,SHA-256; RSA-2048,SHA-256; RSA-2048,"SHA-3; Kyber-1024",Classical algorithm not PQC-safe,Completed,TLS 1.2; RSA-2048,TLS 1.3 with PQC Cert; PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-256; RSA-2048,"TLS 1.2; RSA-2048",TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q4 2028,Athenahealth Centricity,550001007,Application,QA,Clinical Workbench,TLS 1.2,SHA-1; ECC,SHA-1,SHA-3,Outdated hash function,Completed,,,No Change,,SHA-1; ECC,TLS 1.2,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2029,Fujifilm Synapse VNA,550002007,Database,Production,Imaging Archive,Code Signing,RSA-2048; SHA-512; Kyber-1024,,,No Change,,,,No Change,,RSA-2048; SHA-512,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2027,Updox Communication API,550003007,Server,UAT,API Service,SSL,ECC; SHA-256,ECC,Kyber-512,Classical algorithm not PQC-safe,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,ECC; SHA-256,SSL,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q3 2028,LabVantage LIMS,550004007,Application,Production,Lab System,TLS 1.2; S/MIME,RSA-2048; ECC; SHA-256,RSA-2048,Dilithium-2,Classical algorithm not PQC-safe,Planned,,,No Change,,RSA-2048; ECC; SHA-256,TLS 1.2; S/MIME,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q4 2026,Palo Alto Firewall,550005007,Network Device,Production,Security,TLS 1.2,SHA-256; ECC,SHA-256,SHA-3,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-256; ECC,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q1 2027,Zelis Payments Engine,550006007,Database,Dev,Payment Gateway,RSA-2048,SHA-1; RSA-2048,SHA-1,SHA-3,Outdated hash function,Completed,RSA-2048,PQC Code Signing,Upgrade to PQC-compatible cert,In Progress,SHA-1; RSA-2048,RSA-2048,FALSE,TRUE,TRUE,FALSE,FALSE
Cleveland Clinic,550,EHR Systems,550001,Q2 2029,eClinicalWorks DB,550001008,Database,Production,Data Engine,TLS 1.2,ECC; SHA-512; Kyber-1024; Sphincs+,,,No Change,,,,No Change,,ECC; SHA-512,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q3 2027,Hologic SecurView DX,550002008,Application,Production,Clinical Workbench,Code Signing,RSA-2048; SHA-256,RSA-2048; SHA-256,"Kyber-512; SHA-3",Classical algorithm not PQC-safe,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,RSA-2048; SHA-256,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q4 2028,Mend Video Platform,550003008,Server,QA,Microservice,SSL,SHA-256; ECC,SHA-256; ECC,"SHA-3; Dilithium-2",Classical algorithm not PQC-safe,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-256; ECC,SSL,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q1 2029,Genoox AI Platform,550004008,Application,Dev,Analytics,Code Signing,SHA-1; ECC; Sphincs+,SHA-1,SHA-3,Outdated hash function,Planned,,,No Change,,SHA-1; ECC,Code Signing,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q2 2027,F5 BIG-IP Load Balancer,550005008,Network Device,Production,Load Balancer,TLS 1.2; SSL,RSA-2048; SHA-512,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,RSA-2048; SHA-512,TLS 1.2; SSL,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q3 2029,InstaMed Payment Gateway,550006008,Application,Production,Payment Gateway,TLS 1.2; Code Signing,ECC; SHA-256,ECC; SHA-256,"Dilithium-2; SHA-3",Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,ECC; SHA-256,TLS 1.2; Code Signing,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q4 2027,Kareo Clinical EHR,550001009,Application,UAT,Web UI,TLS 1.2,RSA-2048; SHA-256; Dilithium-2,RSA-2048,Kyber-512,Classical algorithm not PQC-safe,Completed,,,No Change,,RSA-2048; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2028,Intelerad IntelePACS,550002009,Server,Testing,Imaging Archive,SSL; TLS 1.2,SHA-1; ECC,SHA-1,SHA-3,Outdated hash function,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-1; ECC,SSL; TLS 1.2,FALSE,FALSE,FALSE,TRUE,FALSE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2029,Chiron Health API,550003009,Server,Dev,API Service,Code Signing,RSA-2048; ECC; SHA-512,,,No Change,,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Planned,RSA-2048; ECC; SHA-512,Code Signing,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q3 2027,Benchling R&D Platform,550004009,Application,Production,Lab System,TLS 1.3,SHA-512; ECC; Kyber-512,,,No Change,,,,No Change,,SHA-512; ECC,,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q4 2028,Zscaler Private Access,550005009,Network Device,Production,Security,TLS 1.2,ECC; SHA-256,ECC,Kyber-512,Classical algorithm not PQC-safe,Completed,,,No Change,,ECC; SHA-256,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q1 2029,Phreesia Intake Mgmt,550006009,Application,Production,Patient Intake,TLS 1.2,RSA-2048; SHA-256,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,RSA-2048; SHA-256,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q2 2028,Practice Fusion EHR,550001010,Application,Production,Clinical Workbench,TLS 1.2,ECC; SHA-256,ECC,Dilithium-2,Classical algorithm not PQC-safe,Completed,,,No Change,,ECC; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q3 2029,Infinitt PACS,550002010,Database,Production,Imaging Archive,TLS 1.2,RSA-2048; SHA-256,,,No Change,,,,No Change,,RSA-2048; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q4 2027,eVisit Virtual Care,550003010,Application,Production,Microservice,TLS 1.3; Code Signing,SHA-512; ECC,ECC,Dilithium-2,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-512; ECC,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q1 2028,Seven Bridges Genomics,550004010,Server,Dev,Genomics,Code Signing,SHA-1; RSA-2048,SHA-1,SHA-3,Outdated hash function,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-1; RSA-2048,Code Signing,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q2 2029,NetApp ONTAP System,550005010,Repository,Production,Storage,TLS 1.2,SHA-256; ECC,SHA-256,SHA-3,Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-256; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q3 2028,Trizetto Provider Solutions,550006010,Application,Production,Claims Processing,TLS 1.2; RSA-2048,SHA-1; RSA-2048,SHA-1; RSA-2048,"SHA-3; Kyber-1024",Outdated hash and classical algos,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-1; RSA-2048,"TLS 1.2; RSA-2048",FALSE,TRUE,TRUE,FALSE,FALSE
Cleveland Clinic,550,EHR Systems,550001,Q4 2029,AdvancedMD EHR Suite,550001011,Application,QA,Clinical Workbench,TLS 1.2,RSA-2048; SHA-256,RSA-2048,Kyber-512,Classical algorithm not PQC-safe,Planned,,,No Change,,RSA-2048; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2028,Konica Minolta Exa PACS,550002011,Server,UAT,Imaging Archive,SSL,ECC; SHA-256; Kyber-512,,,No Change,,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,ECC; SHA-256,SSL,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2028,Swymed Telehealth Gateway,550003011,Network Device,Production,HL7 Processor,TLS 1.2,SHA-256; ECC,SHA-256; ECC,"SHA-3; Dilithium-2",Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-256; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q3 2029,CbioPortal Host,550004011,Server,Dev,Analytics,Code Signing; S/MIME,RSA-2048; SHA-1,SHA-1,SHA-3,Outdated hash function,Completed,,,No Change,,RSA-2048; SHA-1,Code Signing; S/MIME,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q4 2028,Splunk Enterprise SIEM,550005011,Application,Production,Monitoring,TLS 1.2,SHA-512; ECC; Dilithium-2,,,No Change,,,,No Change,,SHA-512; ECC,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q1 2028,athenaCollector RCM,550006011,Application,Testing,Billing Service,TLS 1.2,SHA-256; RSA-2048,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-256; RSA-2048,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q2 2030,Modernizing Medicine EMA,550001012,Application,Production,Clinical Workbench,TLS 1.3; Code Signing,SHA-512; ECC; Kyber-512,ECC,Dilithium-2,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-512; ECC,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q3 2028,RamSoft PowerServer PACS,550002012,Server,Production,Imaging Archive,TLS 1.2,RSA-2048; SHA-256,,,No Change,,,,No Change,,RSA-2048; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q4 2029,Thera-LINK Secure Video,550003012,Application,Dev,Microservice,SSL,SHA-1; RSA-2048,SHA-1; RSA-2048,"SHA-3; Kyber-512",Outdated hash and classical algos,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-1; RSA-2048,SSL,FALSE,FALSE,FALSE,TRUE,FALSE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q1 2030,Illumina DRAGEN Bio-IT,550004012,Server,Production,Genomics,Code Signing,SHA-256; ECC; Kyber-1024; Dilithium-2,ECC,Kyber-512,Classical algorithm not PQC-safe,In Progress,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Planned,SHA-256; ECC,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q2 2028,IBM Cloud IAM,550005012,Application,Production,Auth Service,TLS 1.3,SHA-512; ECC; Dilithium-2,,,No Change,,,,No Change,,SHA-512; ECC,,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q3 2030,nThrive RCM Analytics,550006012,Application,QA,Analytics,TLS 1.2,SHA-1; RSA-2048,SHA-1,SHA-3,Outdated hash function,Completed,,,No Change,,SHA-1; RSA-2048,TLS 1.2,FALSE,TRUE,TRUE,FALSE,FALSE
Cleveland Clinic,550,EHR Systems,550001,Q4 2028,Greenway Health Intergy,550001013,Application,Production,Clinical Workbench,TLS 1.2,SHA-256; ECC,ECC,Dilithium-2,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-256; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2030,Novarad Ncompass,550002013,Database,UAT,Imaging Archive,Code Signing,RSA-2048; SHA-256,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,RSA-2048; SHA-256,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2029,OhMD Messaging API,550003013,Server,Testing,API Service,TLS 1.2,SHA-512; RSA-2048,SHA-512,SHA-3,Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-512; RSA-2048,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
